date,1INCHUSDT,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,HNTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,RENUSDT,ROSEUSDT,RSRUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,WAVESUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2020-03-18,,,,,,,14966.135977944004,,,,11470.056619108063,,,,,,,,,,,7473.126148740005,10621.107250324016,,,,,,,,,,,10842.898497042006,,,,,,,,,,,,,,,,11240.250022820028,,,10533.81925230202,12595.184804459985,10504.104256356019,,
2020-03-19,,,,,,,14991.322994788006,,,,11503.807221456054,,,,,,,,,,,7480.130920320004,10632.82590609002,,,,,,,,,,,10882.074831177995,,,,,,,,,,,,,,,,11356.494269100027,,,10574.416463907251,12612.114183519987,10571.406272680017,,
2020-03-20,,,,,,,14928.40908958555,,,,11560.399252904059,,,,,,,,,,,7536.614158900003,10645.588314266022,,,,,,,,,,,10907.829543826008,,,,,,,,,,,,,,,,11432.811313432028,,,10623.19129425602,12558.333432359994,10630.204864764028,,
2020-03-21,,,,,,,14952.179016922,,,,11598.84599425406,,,,,,,,,,,7559.9283026200055,10656.441441504034,,,,,,,,,,,10930.81635085601,,,,,,,,,,,,,,,,11442.295017960032,,,10627.692118704026,12612.021304239992,10655.105038960024,,
2020-03-22,,,,,,,14968.485564636001,,,,11615.192477244065,,,,,,,,,,,7576.838471480005,10667.11377354004,,,,,,,,,,,10936.90699394601,,,,,,,,,,,,,,,,11445.429966306034,,,10633.311106682022,12631.034147999992,10675.80383058402,,
2020-03-23,,,,,,,15092.27434094801,,,,11643.549596788065,,,,,,,,,,,7598.523036600008,10678.845604616037,,,,,,,,,,,10961.465716342005,,,,,,,,,,,,,,,,11484.481528400041,,,10643.67425821202,12721.339959519986,10695.012321908021,,
2020-03-24,,,,,,,15130.007760036011,,,,11647.578933962064,,,,,,,,,,,7615.880385200009,10686.642556482035,,,,,,,,,,,10984.493017506016,,,,,,,,,,,,,,,,11492.344350998043,,,10646.32275578802,12833.154165599984,10698.90425740802,,
2020-03-25,,,,,,,15147.274346094015,,,,11659.540222484056,,,,,,,,,,,7625.19348048001,10695.15505793403,,,,,,,,,,,10997.75795277802,,,,,,,,,,,,,,,,11503.005488762046,,,10648.881438196018,12876.322117999987,10704.000665452018,,
2020-03-26,,,,,,,15154.359851794012,,,,11659.448531264055,,,,,,,,,,,7628.93129294001,10697.269058138028,,,,,,,,,,,11008.292872436024,,,,,,,,,,,,,,,,11509.089438682046,,,10648.849284906019,12883.885980899988,10705.588211202017,,
2020-03-27,,,,,,,15187.633260328013,,,,11691.57480796805,,,,,,,,,,,7636.58519586001,10702.24613196003,,,,,,,,,,,11016.501874984027,,,,,,,,,,,,,,,,11514.842201210044,,,10697.32953274202,12897.321668859984,10709.354128020019,,
