date,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ATOMUSDT,AUDIOUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,GALUSDT,GMTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,OMGUSDT,RENUSDT,ROSEUSDT,SANDUSDT,SKLUSDT,SUSHIUSDT,SXPUSDT,TRXUSDT,WOOUSDT,XTZUSDT,ZILUSDT,ZRXUSDT
2021-01-13,12273.725893420034,14930.370860994015,,,22677.473654853842,,10986.704992465966,14059.417110768152,,,12586.327168546015,,14848.234318359993,12827.737851746586,13745.690209100065,11867.980482679961,12186.586100460037,,15942.890261500035,14574.001996244018,,,,,13661.582937732053,12496.757760700008,14939.30629662203,18490.38706749603,11855.156513758038,,,11710.284431093984,16591.999365399843,11912.234478753908,17851.322306038135,,22799.05549042002,16989.225294734,15086.130524812019
2021-01-14,12297.777741140033,15039.915590886014,,,22729.095678041846,,11012.36995946597,14094.680997392148,,,12586.327168546015,,14893.256161599991,12911.094063587987,13920.679839100067,11885.914186079963,12238.495097940036,,15969.723453180037,14593.24023630202,,,,,13764.315487974052,12589.210786220005,15035.281655424027,18587.110141014025,11996.414119016883,,,11779.007282373988,16804.29147281986,11915.19917983391,17918.253474142133,,22941.743913300023,17032.791375513996,15086.130524812019
2021-01-15,12339.807403780034,15116.050265518013,,,22877.39909482985,,11018.739350865973,14110.222419610138,,,12637.563943972016,,15349.191055999998,12934.191245762779,14057.923401860062,11896.051150679956,12327.619645320048,,15997.729656460038,14605.901802604021,,,,,13917.85781181805,12630.363016939995,15054.008028188022,18746.338757784026,12233.494684910042,,,11915.676243639991,17020.552147339862,11938.440966465905,17940.854367606134,,23343.40094936002,17073.63056087799,15269.680623962024
2021-01-16,12420.222130380038,15260.867874318012,,,23288.335305075838,,11043.07901269597,14138.130452994134,,,12663.545935294016,,15597.626654799999,12952.657139509382,14356.070044000066,11901.422737879955,12401.23190961205,,16018.325154280043,14626.78594627202,,,,,14022.303328454056,12872.907373759997,15080.867008498022,18817.421879186026,12324.659890146042,,,12002.702055483991,17156.093267839868,11961.138986883901,17960.54916055014,,23841.931363420023,17224.662187428003,15341.556656146025
2021-01-17,12434.606812400038,15276.28899847601,,,23403.802191203828,,11060.24977849597,14147.574976544145,,,12694.377058712016,,15938.397286879988,12966.150457151587,14535.612639180066,11907.767919079952,12517.919037586049,,16023.362904440042,14630.45426185602,,,,,14033.395708170056,12975.800534999995,15090.252117276023,18868.560919094023,12329.078298722043,,,12006.997007121992,17220.57325225987,11969.497429651903,17968.350416916146,,24036.39348788002,17381.077146484007,15434.587515480987
2021-01-18,12436.374898400036,15497.571437196011,,,23664.38016069785,,11065.39986009597,14176.019466580146,,,12719.831716494014,,16020.78381309999,12979.040934580382,14586.864431980066,11914.042500479949,12653.79722944605,,16033.242807700044,14638.232864808022,,,,,14054.393694730055,13120.979453019992,15149.394355548022,19037.97766904602,12448.584692406044,,,12051.79384625199,17248.533742319865,11999.3279930679,18034.581971370135,,24150.41005106002,17455.436978082016,15571.902282168026
2021-01-19,12448.851331200036,15528.89890412401,,,23776.73282761785,,11154.226051495976,14197.500474320135,,,12730.725669606014,,16095.044490959985,12994.842017318186,14625.134885520069,11917.908775879947,12960.529466996051,,16068.031229180047,14653.425959994023,,,,,14106.235918176057,13130.790685819991,15253.020363782021,19064.587385076018,12513.967362742043,,,12137.03394974199,17271.643682479862,12015.680941479895,18047.35482308214,,24286.30160728002,17482.294586370008,15588.201987636026
2021-01-20,12452.102131200038,15532.804281824008,,,23822.075134617844,,11158.38636509598,14213.368437542142,,,12733.994948106014,,16247.49036033998,13003.56870666419,14704.32206408007,11926.175659839942,13240.272671756054,,16073.015813720049,14661.937280970023,,,,,14161.066937222051,13134.497213619992,15252.95482578202,19091.594807028017,12676.096233788036,,,12161.501897133987,17301.968099859863,12016.283652203896,18048.898098574144,,24301.09340296003,17555.55561145601,15588.141357276027
2021-01-21,12477.079771400035,15564.193478448005,,,23862.81830709585,,11193.444220095978,14239.857428946138,,10003.460148134001,12737.272017858015,,16507.277729759968,13011.505532602987,14778.25973128007,11933.968450639935,13332.794107442052,,16078.127729720049,14677.58069883203,,,,,14163.299378812051,13211.706667719996,15256.18994778202,19156.96792608801,12747.328934002038,,,12187.075264665986,17334.60737625986,12017.485605187898,18049.669069972144,,24345.18642186003,17604.666563935993,15611.325496386024
2021-01-22,12536.972665660036,15628.745409880003,,,24029.073706151856,,11201.820865295984,14260.803664314133,,10081.272430150002,12737.236031078015,,16694.709120819974,13028.084574092196,14848.294266720073,11936.941865039938,13504.269161198046,,16092.945349600048,14677.54558320003,,,,,14163.24482034005,13278.7983169,15262.530465866019,19257.138632074013,12781.183036186032,,,12236.97235370599,17372.172770799858,12024.116974675891,18059.845356038146,,24802.142538200045,17667.444721996,15616.809465838025
2021-01-23,12559.555052180036,15668.183683364003,,,24108.90580344786,,11205.937508495985,14268.789782680127,,10093.511389720003,12779.248869792016,,16789.78828385997,13037.022272665798,14925.341552740074,11940.836561439935,13603.971146586042,,16118.299291680049,14694.058715130031,,,,,14278.606144064051,13315.0672905,15280.236571222022,19280.15329145601,12794.948312016031,,,12279.904357161995,17442.49300079985,12042.64984060389,18067.59181901214,,25066.69275094005,17691.227624062005,15644.408654084024
